title,original_title,popularity,vote_average,vote_count,release_date
The Shawshank Redemption,The Shawshank Redemption,197.761,8.707,27098,1994-09-23
The Godfather,The Godfather,179.444,8.7,20582,1972-03-14
The Godfather Part II,The Godfather Part II,101.221,8.6,12415,1974-12-20
Schindler's List,Schindler's List,93.75,8.565,15825,1993-12-15
12 Angry Men,12 Angry Men,65.374,8.546,8628,1957-04-10
Spirited Away,千と千尋の神隠し,121.13,8.5,16485,2001-07-20
Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे,50.1,8.5,4436,1995-10-20
The Dark Knight,The Dark Knight,157.76,8.517,32842,2008-07-16
The Green Mile,The Green Mile,88.66,8.507,17395,1999-12-10
Parasite,기생충,151.072,8.5,18239,2019-05-30
Pulp Fiction,Pulp Fiction,105.644,8.5,27871,1994-09-10
The Wild Robot,The Wild Robot,2015.003,8.5,2782,2024-09-12
Your Name.,君の名は。,110.159,8.485,11355,2016-08-26
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,150.736,8.5,24167,2003-12-17
Forrest Gump,Forrest Gump,97.2,8.471,27406,1994-06-23
"The Good, the Bad and the Ugly","Il buono, il brutto, il cattivo",95.442,8.463,8593,1966-12-22
Seven Samurai,七人の侍,62.032,8.5,3664,1954-04-26
GoodFellas,GoodFellas,93.132,8.5,12838,1990-09-12
Grave of the Fireflies,火垂るの墓,0.055,8.456,5546,1988-04-16
Cinema Paradiso,Nuovo Cinema Paradiso,34.781,8.5,4359,1988-11-17
Life Is Beautiful,La vita è bella,52.392,8.4,13011,1997-12-20
Interstellar,Interstellar,177.021,8.4,35561,2014-11-05
Fight Club,Fight Club,99.91,8.438,29349,1999-10-15
Impossible Things,Cosas imposibles,15.94,8.4,387,2021-06-17
Psycho,Psycho,48.101,8.431,10035,1960-06-22
City of God,Cidade de Deus,48.932,8.4,7365,2002-08-30
Once Upon a Time in America,Once Upon a Time in America,56.84,8.4,5377,1984-05-23
One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,49.552,8.4,10411,1975-11-19
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,185.007,8.4,25114,2001-12-18
Gabriel's Inferno,Gabriel's Inferno,19.133,8.413,2411,2020-05-29
A Dog's Will,O Auto da Compadecida,17.644,8.4,1094,2000-09-15
